text,Power_Failure,Battery_Charging,Display_Visual,Audio_Sound,Overheating_Thermal,Connectivity_Signal,Water_Liquid_Damage,Mechanical_Motor,Input_Controls,Software_Error,Data_Storage,Sensor_Accuracy
"Monitor firmware update failed, and My monitor heart rate incorrect.",0,0,0,0,0,0,0,0,0,1,0,1
Tv echo and static. Please help.,0,0,0,1,0,0,0,0,0,0,0,0
"Gaming console propeller is stuck, and Gaming console app crashes.",0,0,0,0,0,0,0,1,0,1,0,0
Laptop thermal throttling during use right after I plugged it in.,0,0,0,0,1,0,0,0,0,0,0,0
"Tv has been gives wrong readings lately, and The TV makes clicking noise. I need this fixed.",0,0,0,1,0,0,0,0,0,0,0,1
"The router overheats, and The router corroded port after spill.",0,0,0,0,1,0,1,0,0,0,0,0
"I noticed my tablet network drops, and I noticed my tablet touchscreen not responding. I need this fixed. Please help.",0,0,1,0,0,1,0,0,0,0,0,0
The vacuum app crashes while charging.,0,0,0,0,0,0,0,0,0,1,0,0
Smartwatch has been storage full unexpectedly lately since yesterday.,0,0,0,0,0,0,0,0,0,0,1,0
"My earbuds software freezes, and Earbuds loud grinding noise. I need this fixed.",0,0,0,1,0,0,0,0,0,1,0,0
Tv has been shuts off randomly lately.,1,0,0,0,0,0,0,0,0,0,0,0
Fitness tracker has been data disappeared lately right after I plugged it in.,0,0,0,0,0,0,0,0,0,0,1,0
"Tv has been disk making clicking noises lately, and I noticed my TV motor not spinning.",0,0,0,0,0,0,0,1,0,0,1,0
Thermostat no internet connection.,0,0,0,0,0,1,0,0,0,0,0,0
"The fitness tracker error code on startup, and Fitness tracker echo and static. Please help.",0,0,0,1,0,0,0,0,0,1,0,0
Camera SD card not recognized while charging.,0,0,0,0,0,0,0,0,0,0,1,0
I noticed my router gives wrong readings.,0,0,0,0,0,0,0,0,0,0,0,1
E-scooter GPS wrong location.,0,0,0,0,0,0,0,0,0,0,0,1
I noticed my camera speaker crackles.,0,0,0,1,0,0,0,0,0,0,0,0
"The gaming console no sound, and Gaming console got wet and stopped working.",0,0,0,1,0,0,1,0,0,0,0,0
My speaker sensor not accurate since yesterday.,0,0,0,0,0,0,0,0,0,0,0,1
Speaker liquid damage.,0,0,0,0,0,0,1,0,0,0,0,0
I noticed my gaming console doesn't power up.,1,0,0,0,0,0,0,0,0,0,0,0
I noticed my router can't save files.,0,0,0,0,0,0,0,0,0,0,1,0
Tablet has been OS won't load lately.,0,0,0,0,0,0,0,0,0,1,0,0
"E-scooter has been battery overheating lately, and I noticed my e-scooter drum won't rotate.",0,0,0,0,1,0,0,1,0,0,0,0
E-scooter app crashes while charging.,0,0,0,0,0,0,0,0,0,1,0,0
Tablet GPS wrong location.,0,0,0,0,0,0,0,0,0,0,0,1
My gaming console mechanical grinding noise.,0,0,0,0,0,0,0,1,0,0,0,0
The camera roller jammed and I tried restarting.,0,0,0,0,0,0,0,1,0,0,0,0
Laptop has been won't charge lately after it fell.,0,1,0,0,0,0,0,0,0,0,0,0
"My smartwatch loud grinding noise, and Smartwatch mechanical grinding noise.",0,0,0,1,0,0,0,1,0,0,0,0
My washing machine shuts down due to heat after a recent update.,0,0,0,0,1,0,0,0,0,0,0,0
"My fitness tracker keys are sticky, and My fitness tracker proximity sensor fails.",0,0,0,0,0,0,0,0,1,0,0,1
I noticed my vacuum got wet and stopped working right after I plugged it in.,0,0,0,0,0,0,1,0,0,0,0,0
"The vacuum no lights but charger connected, and My vacuum gets very hot.",1,0,0,0,1,0,0,0,0,0,0,0
Gaming console motion sensor false triggers.,0,0,0,0,0,0,0,0,0,0,0,1
"The router screen is flickering, and The router SD card not recognized.",0,0,1,0,0,0,0,0,0,0,1,0
My smartwatch won't charge.,0,1,0,0,0,0,0,0,0,0,0,0
I noticed my fitness tracker speaker muffled after water since yesterday.,0,0,0,0,0,0,1,0,0,0,0,0
Drone has been files corrupted lately.,0,0,0,0,0,0,0,0,0,0,1,0
The monitor motion sensor false triggers right after I plugged it in.,0,0,0,0,0,0,0,0,0,0,0,1
"My earbuds drum won't rotate, and I noticed my earbuds corroded port after spill.",0,0,0,0,0,0,1,1,0,0,0,0
The washing machine won't turn on.,1,0,0,0,0,0,0,0,0,0,0,0
The router heart rate incorrect.,0,0,0,0,0,0,0,0,0,0,0,1
My speaker can't find networks while charging.,0,0,0,0,0,1,0,0,0,0,0,0
Printer gets very hot and it's getting worse every day.,0,0,0,0,1,0,0,0,0,0,0,0
Vacuum has been trackpad stops working lately right after I plugged it in.,0,0,0,0,0,0,0,0,1,0,0,0
Tablet blue screen.,0,0,0,0,0,0,0,0,0,1,0,0
"The washing machine loses signal, and My washing machine got wet and stopped working.",0,0,0,0,0,1,1,0,0,0,0,0
The tablet storage full unexpectedly right after I plugged it in.,0,0,0,0,0,0,0,0,0,0,1,0
Vacuum has been sensor not accurate lately.,0,0,0,0,0,0,0,0,0,0,0,1
"Router battery died in minutes, and The router firmware update failed.",0,1,0,0,0,0,0,0,0,1,0,0
Earbuds has been mechanical grinding noise lately.,0,0,0,0,0,0,0,1,0,0,0,0
"Smartwatch has been trackpad stops working lately, and My smartwatch dropped in water.",0,0,0,0,0,0,1,0,1,0,0,0
My tablet power LED is on but device is dead.,1,0,0,0,0,0,0,0,0,0,0,0
Tv firmware update failed right after I plugged it in.,0,0,0,0,0,0,0,0,0,1,0,0
"My washing machine sensor not accurate, and My washing machine trackpad stops working. I need this fixed.",0,0,0,0,0,0,0,0,1,0,0,1
The speaker won't hold charge.,0,1,0,0,0,0,0,0,0,0,0,0
I noticed my e-scooter doesn't power up.,1,0,0,0,0,0,0,0,0,0,0,0
My e-scooter fails to charge.,0,1,0,0,0,0,0,0,0,0,0,0
Camera touchscreen not responding.,0,0,1,0,0,0,0,0,0,0,0,0
Router has been GPS wrong location lately since yesterday.,0,0,0,0,0,0,0,0,0,0,0,1
I noticed my earbuds trackpad stops working after it fell.,0,0,0,0,0,0,0,0,1,0,0,0
Thermostat has been buttons not registering lately. Please help.,0,0,0,0,0,0,0,0,1,0,0,0
"Hard drive has been dropped in water lately, and The hard drive error code on startup.",0,0,0,0,0,0,1,0,0,1,0,0
The e-scooter no lights but charger connected while charging.,1,0,0,0,0,0,0,0,0,0,0,0
"The washing machine makes clicking noise, and I noticed my washing machine proximity sensor fails.",0,0,0,1,0,0,0,0,0,0,0,1
Vacuum has been error code on startup lately after it fell.,0,0,0,0,0,0,0,0,0,1,0,0
The hard drive image is blurry.,0,0,1,0,0,0,0,0,0,0,0,0
Smartwatch has been corroded port after spill lately.,0,0,0,0,0,0,1,0,0,0,0,0
"My e-scooter hard drive not detected, and E-scooter has been temperature sensor off lately. Please help.",0,0,0,0,0,0,0,0,0,0,1,1
"My earbuds error code on startup, and Earbuds has been motor not spinning lately.",0,0,0,0,0,0,0,1,0,1,0,0
"Router has been joystick drifts lately, and I noticed my router got wet and stopped working.",0,0,0,0,0,0,1,0,1,0,0,0
Router has been thermal throttling during use lately.,0,0,0,0,1,0,0,0,0,0,0,0
"Smartwatch has been fails to charge lately, and Smartwatch stuck in bootloop. I need this fixed.",0,1,0,0,0,0,0,0,0,1,0,0
"My smartwatch shuts off randomly, and The smartwatch GPS wrong location.",1,0,0,0,0,0,0,0,0,0,0,1
Router OS won't load.,0,0,0,0,0,0,0,0,0,1,0,0
"The vacuum image is blurry, and Vacuum has been OS won't load lately. I need this fixed.",0,0,1,0,0,0,0,0,0,1,0,0
I noticed my router fails to charge since yesterday.,0,1,0,0,0,0,0,0,0,0,0,0
I noticed my speaker gives wrong readings.,0,0,0,0,0,0,0,0,0,0,0,1
Phone motor buzzing.,0,0,0,0,0,0,0,1,0,0,0,0
I noticed my thermostat image is blurry.,0,0,1,0,0,0,0,0,0,0,0,0
Router data disappeared and it's getting worse every day.,0,0,0,0,0,0,0,0,0,0,1,0
Monitor image is blurry since yesterday.,0,0,1,0,0,0,0,0,0,0,0,0
"The vacuum files corrupted, and The vacuum battery drains quickly. I need this fixed.",0,1,0,0,0,0,0,0,0,0,1,0
"Router has been app crashes lately, and I noticed my router battery drains quickly.",0,1,0,0,0,0,0,0,0,1,0,0
"The TV Wi-Fi disconnects, and My TV proximity sensor fails.",0,0,0,0,0,1,0,0,0,0,0,1
E-scooter has been Bluetooth won't pair lately right after I plugged it in.,0,0,0,0,0,1,0,0,0,0,0,0
"My TV echo and static, and Tv has been disk making clicking noises lately.",0,0,0,1,0,0,0,0,0,0,1,0
"Hard drive fan runs loud constantly, and My hard drive disk making clicking noises. Please help.",0,0,0,0,1,0,0,0,0,0,1,0
Drone has been fails to charge lately.,0,1,0,0,0,0,0,0,0,0,0,0
Vacuum has been battery swelled lately right after I plugged it in.,0,1,0,0,0,0,0,0,0,0,0,0
My fitness tracker won't spin.,0,0,0,0,0,0,0,1,0,0,0,0
Camera roller jammed and it's getting worse every day.,0,0,0,0,0,0,0,1,0,0,0,0
The smartwatch app crashes and I tried restarting.,0,0,0,0,0,0,0,0,0,1,0,0
I noticed my tablet GPS wrong location and I tried restarting.,0,0,0,0,0,0,0,0,0,0,0,1
"The speaker echo and static, and The speaker files corrupted.",0,0,0,1,0,0,0,0,0,0,1,0
E-scooter has been network drops lately after a recent update.,0,0,0,0,0,1,0,0,0,0,0,0
I noticed my e-scooter doesn't power up.,1,0,0,0,0,0,0,0,0,0,0,0
"Router has been Wi-Fi disconnects lately, and Router has been screen is flickering lately. I need this fixed.",0,0,1,0,0,1,0,0,0,0,0,0
The smartwatch proximity sensor fails after a recent update. Please help.,0,0,0,0,0,0,0,0,0,0,0,1
Drone keys are sticky and I tried restarting.,0,0,0,0,0,0,0,0,1,0,0,0
"I noticed my gaming console has no power, and Gaming console has been can't save files lately. Please help.",1,0,0,0,0,0,0,0,0,0,1,0
"Monitor speaker muffled after water, and Monitor battery died in minutes. I need this fixed.",0,1,0,0,0,0,1,0,0,0,0,0
"I noticed my TV disk making clicking noises, and The TV heart rate incorrect. Please help.",0,0,0,0,0,0,0,0,0,0,1,1
Thermostat has been buttons not registering lately after it fell.,0,0,0,0,0,0,0,0,1,0,0,0
My printer keys are sticky.,0,0,0,0,0,0,0,0,1,0,0,0
I noticed my drone loud grinding noise.,0,0,0,1,0,0,0,0,0,0,0,0
Smartwatch has been no internet connection lately.,0,0,0,0,0,1,0,0,0,0,0,0
"Router has been won't charge lately, and I noticed my router speaker crackles.",0,1,0,1,0,0,0,0,0,0,0,0
The hard drive dropped in water right after I plugged it in.,0,0,0,0,0,0,1,0,0,0,0,0
"The drone Bluetooth won't pair, and The drone heart rate incorrect.",0,0,0,0,0,1,0,0,0,0,0,1
Vacuum has been temperature sensor off lately.,0,0,0,0,0,0,0,0,0,0,0,1
"Vacuum battery indicator incorrect, and Vacuum proximity sensor fails. I need this fixed.",0,1,0,0,0,0,0,0,0,0,0,1
I noticed my hard drive display has color tint.,0,0,1,0,0,0,0,0,0,0,0,0
I noticed my e-scooter touch input fails while charging.,0,0,0,0,0,0,0,0,1,0,0,0
"Hard drive has been storage full unexpectedly lately, and Hard drive error code on startup. I need this fixed.",0,0,0,0,0,0,0,0,0,1,1,0
Vacuum has been gives wrong readings lately while charging.,0,0,0,0,0,0,0,0,0,0,0,1
The fitness tracker fails to start.,1,0,0,0,0,0,0,0,0,0,0,0
Thermostat has been won't charge lately while charging.,0,1,0,0,0,0,0,0,0,0,0,0
The fitness tracker firmware update failed after it fell.,0,0,0,0,0,0,0,0,0,1,0,0
I noticed my tablet fails to start while charging.,1,0,0,0,0,0,0,0,0,0,0,0
The fitness tracker screen fogged after water since yesterday.,0,0,0,0,0,0,1,0,0,0,0,0
"Tablet motor not spinning, and My tablet shuts off randomly. Please help.",1,0,0,0,0,0,0,1,0,0,0,0
Earbuds propeller is stuck since yesterday.,0,0,0,0,0,0,0,1,0,0,0,0
Printer has been Bluetooth won't pair lately.,0,0,0,0,0,1,0,0,0,0,0,0
"Router disk making clicking noises, and The router fails to charge.",0,1,0,0,0,0,0,0,0,0,1,0
Monitor has been loud grinding noise lately.,0,0,0,1,0,0,0,0,0,0,0,0
Thermostat has been screen ghost touches lately.,0,0,1,0,0,0,0,0,0,0,0,0
The camera liquid damage.,0,0,0,0,0,0,1,0,0,0,0,0
The hard drive won't boot while charging.,1,0,0,0,0,0,0,0,0,0,0,0
I noticed my printer motor buzzing.,0,0,0,0,0,0,0,1,0,0,0,0
The hard drive Wi-Fi disconnects and it's getting worse every day. Please help.,0,0,0,0,0,1,0,0,0,0,0,0
"Washing machine has been microphone not working lately, and The washing machine touch input fails. Please help.",0,0,0,1,0,0,0,0,1,0,0,0
Router has been speaker crackles lately and it's getting worse every day.,0,0,0,1,0,0,0,0,0,0,0,0
Smartwatch got wet and stopped working right after I plugged it in.,0,0,0,0,0,0,1,0,0,0,0,0
"My hard drive speaker muffled after water, and Hard drive network drops.",0,0,0,0,0,1,1,0,0,0,0,0
Monitor screen is black right after I plugged it in.,0,0,1,0,0,0,0,0,0,0,0,0
Thermostat has been got wet and stopped working lately and I tried restarting. Please help.,0,0,0,0,0,0,1,0,0,0,0,0
My earbuds trackpad stops working since yesterday.,0,0,0,0,0,0,0,0,1,0,0,0
Washing machine audio cuts out.,0,0,0,1,0,0,0,0,0,0,0,0
"My router image is blurry, and Router proximity sensor fails. I need this fixed.",0,0,1,0,0,0,0,0,0,0,0,1
I noticed my vacuum error code on startup and it's getting worse every day.,0,0,0,0,0,0,0,0,0,1,0,0
Fitness tracker has been motor buzzing lately and I tried restarting.,0,0,0,0,0,0,0,1,0,0,0,0
"Tablet drum won't rotate, and My tablet dead pixels.",0,0,1,0,0,0,0,1,0,0,0,0
Router won't spin while charging.,0,0,0,0,0,0,0,1,0,0,0,0
Vacuum remote buttons don't work.,0,0,0,0,0,0,0,0,1,0,0,0
My gaming console screen is black.,0,0,1,0,0,0,0,0,0,0,0,0
I noticed my washing machine loses signal.,0,0,0,0,0,1,0,0,0,0,0,0
"Laptop double-press issue, and Laptop has been disk making clicking noises lately. I need this fixed.",0,0,0,0,0,0,0,0,1,0,1,0
The camera OS won't load.,0,0,0,0,0,0,0,0,0,1,0,0
The gaming console joystick drifts.,0,0,0,0,0,0,0,0,1,0,0,0
"I noticed my smartwatch joystick drifts, and Smartwatch app crashes.",0,0,0,0,0,0,0,0,1,1,0,0
Thermostat SD card not recognized and it's getting worse every day. Please help.,0,0,0,0,0,0,0,0,0,0,1,0
"My drone no sound, and The drone overheats.",0,0,0,1,1,0,0,0,0,0,0,0
"My TV speaker crackles, and The TV Wi-Fi disconnects.",0,0,0,1,0,1,0,0,0,0,0,0
"I noticed my TV touch input fails, and My TV disk making clicking noises. I need this fixed.",0,0,0,0,0,0,0,0,1,0,1,0
Camera has been display has color tint lately. Please help.,0,0,1,0,0,0,0,0,0,0,0,0
The thermostat shuts off randomly.,1,0,0,0,0,0,0,0,0,0,0,0
The vacuum roller jammed.,0,0,0,0,0,0,0,1,0,0,0,0
"Camera propeller is stuck, and Camera has been touchscreen not responding lately.",0,0,1,0,0,0,0,1,0,0,0,0
I noticed my printer speaker muffled after water.,0,0,0,0,0,0,1,0,0,0,0,0
My router disk making clicking noises since yesterday. Please help.,0,0,0,0,0,0,0,0,0,0,1,0
Speaker has been distorted audio lately.,0,0,0,1,0,0,0,0,0,0,0,0
The camera GPS wrong location.,0,0,0,0,0,0,0,0,0,0,0,1
Fitness tracker Wi-Fi disconnects.,0,0,0,0,0,1,0,0,0,0,0,0
I noticed my tablet network drops.,0,0,0,0,0,1,0,0,0,0,0,0
I noticed my TV won't spin.,0,0,0,0,0,0,0,1,0,0,0,0
"Earbuds has been trackpad stops working lately, and The earbuds OS won't load.",0,0,0,0,0,0,0,0,1,1,0,0
"The vacuum no cellular signal, and My vacuum storage full unexpectedly.",0,0,0,0,0,1,0,0,0,0,1,0
"I noticed my tablet won't charge, and Tablet OS won't load.",0,1,0,0,0,0,0,0,0,1,0,0
Earbuds battery overheating since yesterday.,0,0,0,0,1,0,0,0,0,0,0,0
I noticed my TV shuts down due to heat.,0,0,0,0,1,0,0,0,0,0,0,0
My e-scooter motor not spinning.,0,0,0,0,0,0,0,1,0,0,0,0
Vacuum has been fan runs loud constantly lately.,0,0,0,0,1,0,0,0,0,0,0,0
Camera has been display shows lines lately.,0,0,1,0,0,0,0,0,0,0,0,0
My camera battery indicator incorrect.,0,1,0,0,0,0,0,0,0,0,0,0
"Tablet has been fails to start lately, and Tablet remote buttons don't work.",1,0,0,0,0,0,0,0,1,0,0,0
Camera has been keys are sticky lately.,0,0,0,0,0,0,0,0,1,0,0,0
"The earbuds fails to charge, and The earbuds fan runs loud constantly.",0,1,0,0,1,0,0,0,0,0,0,0
Hard drive has been storage full unexpectedly lately.,0,0,0,0,0,0,0,0,0,0,1,0
I noticed my earbuds audio cuts out and I tried restarting.,0,0,0,1,0,0,0,0,0,0,0,0
The router display shows lines. Please help.,0,0,1,0,0,0,0,0,0,0,0,0
"My fitness tracker overheats, and Fitness tracker can't find networks.",0,0,0,0,1,1,0,0,0,0,0,0
Tv has been blue screen lately.,0,0,0,0,0,0,0,0,0,1,0,0
"The washing machine won't spin, and Washing machine Wi-Fi disconnects.",0,0,0,0,0,1,0,1,0,0,0,0
"Printer has been hard drive not detected lately, and The printer OS won't load.",0,0,0,0,0,0,0,0,0,1,1,0
My vacuum battery died in minutes right after I plugged it in.,0,1,0,0,0,0,0,0,0,0,0,0
Tablet has been trackpad stops working lately.,0,0,0,0,0,0,0,0,1,0,0,0
Hard drive has been won't boot lately.,1,0,0,0,0,0,0,0,0,0,0,0
I noticed my earbuds proximity sensor fails and it's getting worse every day.,0,0,0,0,0,0,0,0,0,0,0,1
Monitor temperature sensor off.,0,0,0,0,0,0,0,0,0,0,0,1
Laptop has been overheats lately after it fell.,0,0,0,0,1,0,0,0,0,0,0,0
Hard drive has been gives wrong readings lately.,0,0,0,0,0,0,0,0,0,0,0,1
I noticed my router display has color tint.,0,0,1,0,0,0,0,0,0,0,0,0
I noticed my hard drive battery died in minutes and I tried restarting. Please help.,0,1,0,0,0,0,0,0,0,0,0,0
My e-scooter disk making clicking noises since yesterday. Please help.,0,0,0,0,0,0,0,0,0,0,1,0
My thermostat battery died in minutes and I tried restarting.,0,1,0,0,0,0,0,0,0,0,0,0
My printer motor buzzing after it fell.,0,0,0,0,0,0,0,1,0,0,0,0
"I noticed my monitor distorted audio, and I noticed my monitor fails to charge.",0,1,0,1,0,0,0,0,0,0,0,0
"I noticed my fitness tracker no internet connection, and My fitness tracker mechanical grinding noise.",0,0,0,0,0,1,0,1,0,0,0,0
My speaker motion sensor false triggers.,0,0,0,0,0,0,0,0,0,0,0,1
"I noticed my smartwatch speaker muffled after water, and Smartwatch no lights but charger connected. Please help.",1,0,0,0,0,0,1,0,0,0,0,0
"I noticed my fitness tracker fails to start, and Fitness tracker has been heart rate incorrect lately.",1,0,0,0,0,0,0,0,0,0,0,1
I noticed my vacuum firmware update failed.,0,0,0,0,0,0,0,0,0,1,0,0
"I noticed my laptop buttons not registering, and My laptop won't spin.",0,0,0,0,0,0,0,1,1,0,0,0
"Speaker got wet and stopped working, and My speaker GPS wrong location.",0,0,0,0,0,0,1,0,0,0,0,1
"Tv heart rate incorrect, and The TV gets very hot. Please help.",0,0,0,0,1,0,0,0,0,0,0,1
Router has been drum won't rotate lately right after I plugged it in.,0,0,0,0,0,0,0,1,0,0,0,0
Fitness tracker has been battery indicator incorrect lately and I tried restarting.,0,1,0,0,0,0,0,0,0,0,0,0
"I noticed my gaming console heart rate incorrect, and Gaming console device smokes.",0,0,0,0,1,0,0,0,0,0,0,1
E-scooter display has color tint after it fell. Please help.,0,0,1,0,0,0,0,0,0,0,0,0
My router error code on startup right after I plugged it in.,0,0,0,0,0,0,0,0,0,1,0,0
Laptop has been echo and static lately right after I plugged it in. Please help.,0,0,0,1,0,0,0,0,0,0,0,0
"Router firmware update failed, and I noticed my router liquid damage. I need this fixed.",0,0,0,0,0,0,1,0,0,1,0,0
Gaming console joystick drifts.,0,0,0,0,0,0,0,0,1,0,0,0
The router SD card not recognized.,0,0,0,0,0,0,0,0,0,0,1,0
"Monitor has been corroded port after spill lately, and The monitor stuck in bootloop.",0,0,0,0,0,0,1,0,0,1,0,0
"The phone remote buttons don't work, and My phone battery swelled.",0,1,0,0,0,0,0,0,1,0,0,0
The router remote buttons don't work and it's getting worse every day.,0,0,0,0,0,0,0,0,1,0,0,0
"The router battery swelled, and The router loses signal.",0,1,0,0,0,1,0,0,0,0,0,0
I noticed my thermostat doesn't power up after it fell.,1,0,0,0,0,0,0,0,0,0,0,0
My TV mechanical grinding noise after a recent update.,0,0,0,0,0,0,0,1,0,0,0,0
"The hard drive storage full unexpectedly, and The hard drive loses signal. I need this fixed.",0,0,0,0,0,1,0,0,0,0,1,0
Drone battery drains quickly and it's getting worse every day.,0,1,0,0,0,0,0,0,0,0,0,0
"I noticed my tablet no lights but charger connected, and My tablet hard drive not detected.",1,0,0,0,0,0,0,0,0,0,1,0
Smartwatch has been doesn't power up lately after a recent update. Please help.,1,0,0,0,0,0,0,0,0,0,0,0
Vacuum battery overheating and I tried restarting.,0,0,0,0,1,0,0,0,0,0,0,0
"The router gives wrong readings, and My router double-press issue. I need this fixed.",0,0,0,0,0,0,0,0,1,0,0,1
My e-scooter screen is flickering since yesterday.,0,0,1,0,0,0,0,0,0,0,0,0
"Thermostat motor not spinning, and My thermostat liquid damage. Please help.",0,0,0,0,0,0,1,1,0,0,0,0
Camera image is blurry. Please help.,0,0,1,0,0,0,0,0,0,0,0,0
I noticed my monitor app crashes.,0,0,0,0,0,0,0,0,0,1,0,0
"My smartwatch won't spin, and My smartwatch echo and static.",0,0,0,1,0,0,0,1,0,0,0,0
The drone echo and static. Please help.,0,0,0,1,0,0,0,0,0,0,0,0
I noticed my earbuds battery died in minutes after it fell.,0,1,0,0,0,0,0,0,0,0,0,0
Printer mechanical grinding noise after it fell.,0,0,0,0,0,0,0,1,0,0,0,0
My gaming console fan runs loud constantly.,0,0,0,0,1,0,0,0,0,0,0,0
My monitor files corrupted and I tried restarting.,0,0,0,0,0,0,0,0,0,0,1,0
"I noticed my printer won't spin, and My printer thermal throttling during use.",0,0,0,0,1,0,0,1,0,0,0,0
"My tablet remote buttons don't work, and Tablet loses signal. Please help.",0,0,0,0,0,1,0,0,1,0,0,0
"My tablet display shows lines, and Tablet has been makes clicking noise lately.",0,0,1,1,0,0,0,0,0,0,0,0
My earbuds touchscreen not responding.,0,0,1,0,0,0,0,0,0,0,0,0
"I noticed my earbuds network drops, and Earbuds double-press issue.",0,0,0,0,0,1,0,0,1,0,0,0
My gaming console can't find networks while charging.,0,0,0,0,0,1,0,0,0,0,0,0
My TV battery swelled.,0,1,0,0,0,0,0,0,0,0,0,0
The drone mechanical grinding noise.,0,0,0,0,0,0,0,1,0,0,0,0
My speaker SD card not recognized.,0,0,0,0,0,0,0,0,0,0,1,0
I noticed my earbuds distorted audio. Please help.,0,0,0,1,0,0,0,0,0,0,0,0
My router data disappeared since yesterday.,0,0,0,0,0,0,0,0,0,0,1,0
My TV screen fogged after water after a recent update.,0,0,0,0,0,0,1,0,0,0,0,0
Tablet can't find networks and I tried restarting.,0,0,0,0,0,1,0,0,0,0,0,0
"Tablet screen is black, and Tablet files corrupted.",0,0,1,0,0,0,0,0,0,0,1,0
E-scooter image is blurry.,0,0,1,0,0,0,0,0,0,0,0,0
My hard drive sensor not accurate after it fell.,0,0,0,0,0,0,0,0,0,0,0,1
"Hard drive trackpad stops working, and Hard drive has been no sound lately.",0,0,0,1,0,0,0,0,1,0,0,0
"Router has been keys are sticky lately, and Router device smokes.",0,0,0,0,1,0,0,0,1,0,0,0
I noticed my vacuum propeller is stuck.,0,0,0,0,0,0,0,1,0,0,0,0
"Tablet has been disk making clicking noises lately, and The tablet loud grinding noise. I need this fixed.",0,0,0,1,0,0,0,0,0,0,1,0
Printer stuck in bootloop after it fell.,0,0,0,0,0,0,0,0,0,1,0,0
Gaming console loud grinding noise and it's getting worse every day. Please help.,0,0,0,1,0,0,0,0,0,0,0,0
"The router got wet and stopped working, and My router won't charge. Please help.",0,1,0,0,0,0,1,0,0,0,0,0
The drone screen fogged after water. Please help.,0,0,0,0,0,0,1,0,0,0,0,0
"I noticed my fitness tracker distorted audio, and I noticed my fitness tracker won't boot.",1,0,0,1,0,0,0,0,0,0,0,0
The speaker files corrupted since yesterday.,0,0,0,0,0,0,0,0,0,0,1,0
"The drone no internet connection, and My drone touchscreen not responding. I need this fixed.",0,0,1,0,0,1,0,0,0,0,0,0
Printer has been loses signal lately and I tried restarting.,0,0,0,0,0,1,0,0,0,0,0,0
"I noticed my camera firmware update failed, and Camera won't hold charge.",0,1,0,0,0,0,0,0,0,1,0,0
"Thermostat software freezes, and The thermostat battery overheating.",0,0,0,0,1,0,0,0,0,1,0,0
My TV touchscreen not responding. Please help.,0,0,1,0,0,0,0,0,0,0,0,0
The phone Wi-Fi disconnects after a recent update.,0,0,0,0,0,1,0,0,0,0,0,0
Camera has been disk making clicking noises lately since yesterday.,0,0,0,0,0,0,0,0,0,0,1,0
The camera touchscreen not responding.,0,0,1,0,0,0,0,0,0,0,0,0
